id,user_id,text,label
258302693523722240,116847932,#rtesoccer Robbie Keane saying he always knew Germany was going to finish 1st in the group!!! #winningmentality #coybig,positive
259334290519752704,21689216,Apparently some dude called Shepard Fairey has a show on 2night? Drop by Blackall studio 1st if you missed the #imaginaryfriends show launch,neutral
261330977408831489,172647791,"I want to watch The Vow, so guess whose gonna watch that tomorrow night,.with tissues?! ---->>> Thiss girl :))",neutral
264259148965883905,246146090,"@V_Global: F2 DUBAI  3 Nov, 7PM onwards with @thevchief, some VPs, and Directors! Check FB for details! @QNetOfficial @qnetarabic",neutral
263619698845941760,117978969,Good luck to all my babies taking History and Physics tomorrow! May the force be with you! Make history!,positive
250720130303131648,91852905,Meet the Dragon's Den at Social Media Week in #Vancouver on Sept 28 http://t.co/y8SQSA5s,neutral
171477160480092160,264905757,Otw back to La Salle!! Hehehehe watched Unofficially Yours for the 2nd time w @jantiamwatt & @superxmaika!,positive
243913432015982592,114853903,"@keltron76 Your helicopter may be wicked, but your Billy Crystal is gonna be the http://t.co/3YMIJe4C #going2Bgreat",neutral
258384255263047682,161053612,He want the country divided as Filthy Rich or Dirt Poor!   And EVERYBODY on my TL gone be in the 2nd category!,neutral
232925641908031488,142359126,"I am selling 2 tickets to see @onedirection at london o2 arena on the first date on their 2013 tour. Friday, (cont) http://t.co/B4iA7koz",neutral
251322943731290112,411868595,Finding out that its national margarita day on a Thursday this year just made having no class on Friday thaaaat much better #excited,positive
250245653710655488,456812898,Beliebers have about 40+% more tweets than Justin. You may think we're tweeting random shit but there's lots to tweet about Kidrauhl.,neutral
262888628844388352,70772671,Happy 18th Birthday to My Best Friend and Big Brother @NickLetsch I love you :),positive
101089431011868672,317801897,#winnipegjets Bogosian ready to bring it on with Jets - Winnipeg Sun http://ow.ly/1eaKQ3,neutral
259053676495257601,245172868,@deniszhirov @DiqueSoyPrieto @_KevCastillo Monday is the tournament.  Weight class Negros. #whoboutit,neutral
261338179976695808,343841467,@bamberwove haha if it gets to serious you may wanna call the original ghost hunter... Bill Murray #ghostbusters,neutral
263194127913607168,861687991,"Harry Redknapp is being heavily linked with the position as Blackburn manager today. However, QPR may have begun courting him already...",neutral
100740807904067585,215367707,Morrison and Truth tonight? I thought that match would be at Summerslam. Oh well. #Raw,neutral
260795654488592387,220164484,"Tuesday! Boston Cream, Zombie Toffee, Snickerdoodle, Neapolitan, S'mores, Strawberry Red Velvet, Black Forest and the standards.",neutral
100031693452361728,18750806,@Benjy1416 Free. Just ask you post a tweet or video about it. But I can't send anything for 2 weeks as I'm flying to Japan tomorrow.,neutral
259714773934026752,67337136,"Perry: Morgan State is beating Howard, 7-0 at the end of the 1st quarter of Howard's Homecoming football game.",neutral
263775652711366656,403825796,My trick or treating will happen tomorrow night..at Walgreens....in the candy aisle.,neutral
261593174953299969,294909271,"Jimmy Kimmel Live - Axl Rose, Part 1: Part 1 of Jimmy Kimmel's interview with Axl Rose.Added: Thu Oct 25 11:02:2... http://t.co/u2bDsf5k",neutral
246291695438819329,172672339,"@tokyo_sexwhale @jayirichardson LeBlanc was nominated for an Emmy and won a Golden Globe, so that may have something to do with it.",neutral
262059855089651712,147259796,"I need to go find some sweets, then I'm outttt. Another 12 hour day of Marching Band tomorrow #NeverGetsOld",positive
159402243186106369,242376429,@ArronOHare Hi matey appreciate you passing on my biz cards around work ! We have enough food until Friday in the Turner house  !,positive
263821109948997632,233301126,@BooGotti_So1OO Girl Exactly But I'm Mad Because They Pushed Gotti Date Back! But Fuck All That NOVEMBER 23 RVA!  Shawty how you acting??,negative
251461604137394177,554658598,Should I go to the Flowing Wells and Marana game tomorrow?,neutral
254218373221736450,20236942,May have mentioned this but I am quite in love with Bruce Springsteen. Jack of all Trades from Wrecking Ball has nearly made me weep at desk,positive
245113789022863360,334235501,interviewing Paul Conroy later for @LeedsStudent -the photographer injured working with The Sunday Times journalist Marie Colvin in Syria,neutral
264219560901738496,261942879,Tomorrow I have Zumba but I'm not really feeling it,negative
264223625777934336,15557414,"With the 1st pick in the Classic Movie Lotto, Mark Bonnell selects: North by Northwest #classicmovielotto... http://t.co/93cgVeyu",neutral
264235520148791296,373468674,"Got my tix to Victory Rally w/ Mitt, Ann & the GOP team at Fiddler's Green on Saturday. Should be a monster hoot.",neutral
253076268801740801,259947123,"Oct 2nd, 1976 - John Belushi performed with Joe Cocker on ""Saturday Night Live."" http://t.co/21UXGP4b",neutral
264246059675570176,32268487,I think I am going to take this trip to Raleigh on Saturday!,neutral
254225888651128832,35173792,"@1rgcruz @lyndajumilla take the cue from Enrile and Cuevas. Besides, may stem cell na. Ha ha.",neutral
257533559617748992,377333842,@SwiftExpert Is t it fake? The Grammys nominations come out in December!!!,neutral
260118043244498944,491115120,Fuck yes the Girl Scouts just came to my door. And I may or may not have bought ten boxes of thin mints....,positive
262346562489962496,136408553,"Saw Margaret Cho tonight at Leicester Square Theatre. Brilliant woman, intuitive, insightful, sexy. She's here til 31st u must go!!",positive
101679798522355712,117991218,@ToyceMonique I know! Im still in Alabama but Ill be back soon. Next thursday Ill be featured at Bakers so you gotta come through!,positive
264241540262662144,301179060,@cocosworld @numolai nor'easter superstorm with snow and low temps according to fox http://t.co/ilhYhhwB  it may change paths by then,neutral
253164344601366529,83886696,Dallas Stars forward Jamie Benn has signed with the Hamburg Freezers in Germany. He could make his debut against Mannheim on Friday.,neutral
251272398656122881,337073171,"@2302XY @devyyyyyyyy I heard May Queen is good, Nice Guy but has Song Joongki in it ^^~ I have no interested in drama these days unnie =.=",negative
259714580450770946,28016498,I've just been invited to speak at the World Economic Forum in Davos (@davos) this January. Thrilled and honored. http://t.co/h0aq8cZ6,positive
263458633461923840,132351375,@AKRAM01ARABI Friday's the main day!!!! Knicks vs Heat,positive
264212198400864256,202642341,"State unveiled their Snow Bowl uni's 5 weeks ago. Tonight, some Greenville viewers heard words Mullen spoke about them from September 26th",neutral
199829528468656129,108914234,"This Saturday GREEN VELVET back at Cherry Moon! Together with DEG, FRANK ZOLEX, YOURI PARKER & DJ GHOST! Be part... http://t.co/o3xSsOb2",neutral
264203042788892672,96705511,Mizzou moves back the start time for their opener w/ SIUE on November 10th because of football.  #siuenation  http://t.co/L2xbKWm4,neutral
100245144627986432,186164728,"RT @coupleBOOBS: Nicki Minaj - Pink Friday, up 15 places, to #16 on the Official UK Top 40 :) http://twitpic.com/62iohc",positive
264096441549598720,510441175,"@Real_Liam_Payne Saturday, I buy my ticket for the #TMHTOUR in Belgium! I'm so happy!",positive
264240176614735872,629045492,"@CrazyCougar9 not with UNLV, but my first game for Team Nevada is November 9th, as long as California doesn't cancel.",neutral
